timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
544814280,544813776,2490378,8039.878,15.702887,nan,108.70439,nan,78.514435,62.811546,78.514435,94.217316,nan,nan,nan,7.3489814,nan,9.669502,8.825824,4.275763,7.5403457,nan,nan
544874015,544873504,2490378,8039.878,15.702887,nan,109.920204,nan,76.50884,62.811546,78.514435,94.217316,nan,nan,nan,6.7804527,nan,6.7070007,9.990881,9.756577,7.5403457,nan,nan
544929085,544925765,2490378,8039.878,15.702887,nan,109.920204,nan,76.50884,62.811546,78.514435,94.217316,nan,nan,nan,6.7804527,nan,6.7070007,6.745969,9.756577,7.5403457,nan,nan
544939159,544938209,2490378,8039.878,15.702887,nan,109.920204,nan,76.50884,62.811546,78.514435,94.217316,nan,nan,nan,7.430187,nan,6.7070007,6.745969,9.756577,7.5403457,nan,nan
545023374,545020334,2490378,8039.878,15.702887,125.7156,109.920204,125.62309,76.50884,64.00066,78.514435,94.217316,nan,nan,16.157806,10.06484,10.81988,11.134193,13.515753,10.511118,8.434209,nan,nan
545073148,545070107,2490378,8039.878,15.702887,125.62309,101.19767,126.8122,80.61654,64.00066,78.514435,95.31393,nan,nan,12.314273,12.6589775,14.658221,9.634406,12.104434,11.534378,11.733708,nan,nan
545128486,545127346,2490378,8039.878,15.702887,125.014175,100.01101,127.12248,80.61654,63.655167,78.514435,95.31393,nan,nan,10.174044,11.432968,10.68981,9.634406,11.858015,11.534378,7.502437,nan,nan
545168430,545164676,2490378,8039.878,15.702887,125.014175,100.01101,128.59155,80.61654,63.655167,78.514435,95.31393,nan,nan,10.174044,11.432968,12.345414,9.634406,9.492613,11.534378,7.502437,nan,nan
545208332,545206983,2490378,8039.878,15.702887,122.80824,79.29209,137.08955,81.42936,63.655167,78.514435,95.31393,nan,nan,12.755631,10.125414,11.335617,10.511074,9.492613,11.524648,7.295766,nan,nan
545272224,545271688,2490378,8039.878,15.702887,122.80824,77.97701,137.25609,81.42936,64.45102,79.70355,94.217316,nan,nan,12.755631,8.532345,9.045631,10.511074,9.783987,8.281521,7.953894,nan,nan
545327286,545323950,2490378,8039.878,15.702887,nan,77.97701,139.17719,nan,64.45102,97.86309,94.217316,nan,nan,nan,11.10506,12.686888,nan,9.783987,10.284836,5.1759596,nan,nan
545377156,545376212,2490378,8039.878,15.702887,nan,77.97701,142.14017,nan,nan,109.920204,94.217316,94.217316,94.217316,nan,10.240283,10.384637,nan,nan,8.532503,5.1759596,6.765299,7.409618
545411605,545408564,2490378,8039.878,15.702887,nan,77.97701,142.14017,81.42936,64.976326,109.920204,94.217316,94.217316,94.217316,nan,10.240283,10.384637,10.471187,10.471187,7.280735,7.7961407,6.765299,7.409618
